month,Canada_Inflation,Mexico_Inflation,Euro Area_Inflation,Japan_Inflation,South Korea_Inflation,3M T-Bill,USDCAD,USDMXN,EURUSD,USDJPY,USDKRW
2010-01,91.27910856,82.77040973,91.56,96.61491474,89.97488428,0.06,1.0438,12.8096,1.4266,91.1011,1138.1947
2010-02,91.43924735,83.24913495,91.85,96.61491474,90.15620237,0.11,1.0572,12.9396,1.368,90.1395,1155.6553
2010-03,91.67945553,83.84015375,92.86,96.81852889,90.33857463,0.15,1.0229,12.5673,1.357,90.7161,1136.0822
2010-04,91.91966371,83.57301326,93.24,96.81852889,90.70226498,0.16,1.0052,12.2396,1.3417,93.4527,1115.4591
2010-05,91.9997331,83.04641551,93.35,96.81852889,90.7939782,0.16,1.0403,12.7262,1.2563,91.973,1164.841
2010-06,91.91966371,83.02041068,93.35,96.61491474,90.70226498,0.12,1.0376,12.7102,1.2223,90.8059,1214.1114
2010-07,91.67945553,83.20067141,92.95,96.10587936,90.88463725,0.16,1.0422,12.8038,1.2811,87.5005,1203.8095
2010-08,91.67945553,83.43175976,93.13,96.20768643,91.34109499,0.16,1.0404,12.766,1.2903,85.3727,1179.5159
2010-09,91.91966371,83.86911367,93.42,96.41130059,92.06847569,0.15,1.033,12.7977,1.3103,84.3571,1159.931
2010-10,92.32001068,84.38684614,93.71,96.71672181,92.06847569,0.13,1.0179,12.4393,1.3901,81.7285,1121.94
2010-11,92.56021886,85.06297165,93.79,96.41130059,91.6141263,0.14,1.0129,12.3376,1.3654,82.518,1129.623
2010-12,92.72035764,85.48436805,94.36,96.20768643,91.97781665,0.14,1.0081,12.3902,1.3221,83.3376,1145.4833
2011-01,93.12070461,85.90081742,93.69,96.10587936,93.07099605,0.15,0.9939,12.128,1.3371,82.625,1118.8675
2011-02,93.2808434,86.22306975,94.08,96.10587936,93.7077177,0.13,0.9876,12.0649,1.3656,82.5368,1117.4368
2011-03,94.56195369,86.38848119,95.35,96.30949351,94.07246223,0.1,0.9766,11.9963,1.402,81.647,1119.2674
2011-04,94.72209248,86.38162476,95.89,96.41130059,94.16417545,0.06,0.958,11.7059,1.446,83.1771,1083.1762
2011-05,94.96230066,85.74483357,95.9,96.41130059,94.34549353,0.04,0.968,11.6542,1.4335,81.1257,1084.3619
2011-06,94.40181491,85.7405483,95.89,96.30949351,94.5278658,0.04,0.9766,11.8055,1.4403,80.4259,1080.4523
2011-07,94.4818843,86.15193426,95.34,96.30949351,94.98326937,0.04,0.9553,11.6741,1.4275,79.2425,1057.425
2011-08,94.64202309,86.28820586,95.52,96.41130059,95.6210452,0.02,0.9817,12.2366,1.4333,76.9657,1073.887
2011-09,94.80216187,86.49989822,96.22,96.41130059,95.52933198,0.01,1.0025,13.0637,1.3747,76.7957,1121.9095
